ECG signal fs= 1000 Hz
     (0.001 sec)	   (mV)
367   8.56002547835257E-0002
368   7.92707035970073E-0001
369   1.69439062562855E+0000
370   2.28117647058824E+0000
371   2.28217587792102E+0000
372   1.75670472873582E+0000
373   1.04959794754927E+0000
374   5.88010273205057E-0001
375   5.87010865872272E-0001
376   1.00022502091258E+0000
377   1.52569617009779E+0000
378   1.81858938891124E+0000
379   1.69439062562855E+0000
380   1.28117647058824E+0000
381   8.67962315547929E-0001
382   7.43763552265227E-0001
383   1.03665677107868E+0000
384   1.56212792026389E+0000
385   1.96240089883361E+0000
386   1.96140149150082E+0000
387   1.48687264068603E+0000
388   7.92707035970073E-0001
389   2.67235886784866E-0001
390   2.81176470588240E-0001
391   8.67962315547929E-0001
392   1.75670472873582E+0000
393   2.47675268639294E+0000
394   2.58801027320506E+0000
395   2.00122442824537E+0000
396   1.00022502091258E+0000
397   9.85414312541157E-0002
398  -1.94351787559337E-0001
399   2.67235886784866E-0001
400   1.26823529411765E+0000
401   2.25629352497984E+0000
402   2.73082237579464E+0000
403   2.43792915698118E+0000
404   1.53624556732271E+0000
405   5.35246159989922E-0001
406  -5.15396849697666E-0002
407   5.97179018423457E-0002
408   7.79765859499483E-0001
409   1.66850827268737E+0000
410   2.26823529411765E+0000
411   2.28217587792102E+0000
412   1.75670472873582E+0000
413   1.04959794754927E+0000
414   5.88010273205057E-0001
415   5.87010865872272E-0001
416   1.00022502091258E+0000
417   1.52569617009779E+0000
418   1.80564821244066E+0000
419   1.69439062562855E+0000
420   1.26823529411765E+0000
421   8.55021139077339E-0001
422   7.30822375794637E-0001
423   1.02371559460809E+0000
424   1.53624556732271E+0000
425   1.94945972236302E+0000
426   1.94846031503023E+0000
427   1.47393146421544E+0000
428   7.66824683028893E-0001
429   2.54294710314276E-0001
430   2.68235294117650E-0001
431   8.55021139077339E-0001
432   1.75670472873582E+0000
433   2.46381150992236E+0000
434   2.58801027320506E+0000
435   2.00122442824537E+0000
436   1.00022502091258E+0000
437   1.11482607724695E-0001
438  -1.94351787559337E-0001
439   2.80177063255456E-0001
440   1.26823529411765E+0000
441   2.26923470145043E+0000
442   2.73082237579464E+0000
443   2.43792915698118E+0000
444   1.54918674379330E+0000
445   5.35246159989922E-0001
446  -5.15396849697666E-0002
447   5.97179018423457E-0002
448   7.66824683028893E-0001
449   1.65556709621678E+0000
450   2.25529411764706E+0000
451   2.25629352497984E+0000
452   1.73082237579464E+0000
453   1.03665677107868E+0000
454   5.75069096734477E-0001
455   5.74069689401693E-0001
456   1.00022502091258E+0000
457   1.52569617009779E+0000
458   1.81858938891124E+0000
459   1.69439062562855E+0000
460   1.28117647058824E+0000
461   8.67962315547929E-0001
462   7.43763552265227E-0001
463   1.02371559460809E+0000
464   1.54918674379330E+0000
465   1.94945972236302E+0000
466   1.94846031503023E+0000
467   1.47393146421544E+0000
468   7.66824683028893E-0001
469   2.54294710314276E-0001
470   2.55294117647060E-0001
471   8.42079962606749E-0001
472   1.74376355226523E+0000
473   2.45087033345177E+0000
474   2.56212792026389E+0000
475   1.97534207530420E+0000
476   9.87283844442003E-0001
477   9.85414312541157E-0002
478  -1.94351787559337E-0001
479   2.80177063255456E-0001
480   1.28117647058824E+0000
481   2.28217587792102E+0000
482   2.74376355226523E+0000
483   2.45087033345177E+0000
484   1.56212792026389E+0000
485   5.48187336460512E-0001
486  -5.15396849697666E-0002
487   5.97179018423457E-0002
488   7.66824683028893E-0001
489   1.66850827268737E+0000
490   2.25529411764706E+0000
491   2.25629352497984E+0000
492   1.74376355226523E+0000
493   1.03665677107868E+0000
494   5.62127920263887E-0001
495   5.74069689401693E-0001
496   9.87283844442003E-0001
497   1.51275499362721E+0000
498   1.79270703597007E+0000
499   1.68144944915796E+0000
